className,javaPackage,category,name,internalName,sortingName,heat,damage,rackSize,minimumRange,shortRange,mediumRange,longRange,extremeRange,waterShortRange,waterMediumRange,waterLongRange,waterExtremeRange,tonnage,criticalSlots,bv,cost,shortAV,medAV,longAV,extAV,maxRange,explosionDamage,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
NPPCWeaponMedium,megamek.common.weapons.capitalWeapons.naval,capitalWeapons,Naval PPC (Medium),,PPC Naval C,135,9,,,12,24,36,48,,,,,1800.0,,2268.0,3250000,9,9,9,9,Extreme,,"146, TO:AUE",ALL,D,2350,2350
ScreenLauncherWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Screen Launcher,,,10,15,,,3,6,9,12,,,,,40.0,,160.0,250000,15,,,,Short,,"237, TM",IS,F,3053,
CapMissTeleBarracudaWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Tele-operated Missile (Barracuda-T),,,10,2,,,20,30,40,50,,,,,100.0,,461.0,100000,2,2,2,2,Extreme,,"210, TM",IS,F,3053,
CapMissTeleKillerWhaleWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Tele-operated Missile (Killer Whale-T),,,20,4,,,7,14,21,28,,,,,160.0,,923.0,165000,4,4,4,4,Extreme,,"210, TM",IS,F,3053,
CapMissTeleKrakenWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Tele-operated Missile (Kraken T),,,50,10,,,11,22,34,46,,,,,220.0,,2306.0,500000,10,10,10,10,Extreme,,"210, TM",IS,F,3053,
CapMissTeleWhiteSharkWeapon,megamek.common.weapons.capitalWeapons,capitalWeapons,Tele-operated Missile (White Shark-T),,,15,3,,,12,24,36,48,,,,,130.0,,692.0,145000,3,3,3,3,Extreme,,"210, TM",IS,F,3053,
ISBPod,megamek.common.weapons.defensivePods,defensivePods,Anti-BattleArmor Pods (B-Pods),ISBPod,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISMPod,megamek.common.weapons.defensivePods,defensivePods,M-Pod,ISMPod,,,,,,,,,,,,,,,,,,,,,,,,"143, TO:AUE",IS,C,3060,
CLERFlamer,megamek.common.weapons.flamers.clan,flamers,ER Flamer,CLERFlamer,Flamer ER,4,2,,,3,5,7,10,,,,,1,1,16,15000,2,,,,Short,,"124, TO:AUE",CLAN,D,,
ISERFlamer,megamek.common.weapons.flamers.innerSphere,flamers,ER Flamer,,Flamer X ER,4,2,,,3,5,7,10,,,,,1,1,16,15000,2,,,,Short,,"124, TO:AUE",IS,D,,
CLFlamer,megamek.common.weapons.flamers.clan,flamers,Flamer,CLFlamer,,3,2,,,1,2,3,4,,,,,0.5,1,6,7500,2,,,,Short,,"218, TM",CLAN,C,,2820
ISFlamer,megamek.common.weapons.flamers.innerSphere,flamers,Flamer,,Flamer C,3,2,,,1,2,3,4,,,,,1,1,6,7500,2,,,,Short,,"218, TM",ALL,C,,
ISVehicleFlamer,megamek.common.weapons.flamers.innerSphere,flamers,Flamer (Vehicle),,Flamer V,3,2,2,,1,2,3,4,,,,,0.5,1,5,7500,2,,,,Short,,"218, TM",ALL,B,,
CLHeavyFlamer,megamek.common.weapons.flamers.clan,flamers,Heavy Flamer,CLHeavyFlamer,Flamer D,5,4,2,,2,3,4,6,,,,,1.5,1,15,11250,4,,,,Short,,"124, TO:AUE",CLAN,C,,
ISHeavyFlamer,megamek.common.weapons.flamers.innerSphere,flamers,Heavy Flamer,,Flamer D,5,4,2,,2,3,4,6,,,,,1.5,1,15,11250,4,,,,Short,,"124, TO:AUE",IS,C,,
CLAPGaussRifle,megamek.common.weapons.gaussRifles.clan,gaussRifles,AP Gauss Rifle,CLAPGaussRifle,Gauss X,1,3,,,3,6,9,12,,,,,0.5,1,21,8500,3,,,,Short,3,"218, TM",CLAN,F,,3065
CLGaussRifle,megamek.common.weapons.gaussRifles.clan,gaussRifles,Gauss Rifle,CLGaussRifle,,1,15,,2,7,15,22,33,,,,,12.0,6,320,300000,15,15,15,,Long,20,"219, TM",CLAN,F,,2822
ISGaussRifle,megamek.common.weapons.gaussRifles.innerSphere,gaussRifles,Gauss Rifle,ISGaussRifle,Gauss C,1,15,,2,7,15,22,33,,,,,15.0,7,320,300000,15,15,15,,Long,20,"219, TM",IS,E,2587,
CLHAG20,megamek.common.weapons.gaussRifles.clan,gaussRifles,HAG/20,CLHAG20,,4,,20,2,8,16,24,32,,,,,10.0,6,267,400000,16,12,12,,Long,,"219, TM",CLAN,F,,
CLHAG30,megamek.common.weapons.gaussRifles.clan,gaussRifles,HAG/30,CLHAG30,,6,,30,2,8,16,24,32,,,,,13.0,8,401,500000,24,18,18,,Long,,"219, TM",CLAN,F,,
CLHAG40,megamek.common.weapons.gaussRifles.clan,gaussRifles,HAG/40,CLHAG40,,8,,40,2,8,16,24,32,,,,,16.0,10,535,600000,32,24,24,,Long,,"219, TM",CLAN,F,,
ISHGaussRifle,megamek.common.weapons.gaussRifles.innerSphere,gaussRifles,Heavy Gauss Rifle,ISHeavyGaussRifle,Gauss D,2,,,4,6,13,20,30,,,,,18.0,11,346,500000,25,20,10,,Long,25,"218, TM",IS,E,3051,
CLImprovedGaussRifle,megamek.common.weapons.gaussRifles.clan,gaussRifles,Improved Gauss Rifle,Improved Gauss Rifle,Gauss Imp,1,15,,2,7,15,22,33,,,,,13.0,6,320,300000,15,15,15,,Long,20,"90, IO:AE",CLAN,E,,2818
ISImpHGaussRifle,megamek.common.weapons.gaussRifles.innerSphere,gaussRifles,Improved Heavy Gauss Rifle,ISImprovedHeavyGaussRifle,Gauss IMP D,2,22,,3,6,12,19,28,,,,,20.0,11,385,700000,22,22,22,,Long,30,"126, TO:AUE",IS,E,3065,
ISLGaussRifle,megamek.common.weapons.gaussRifles.innerSphere,gaussRifles,Light Gauss Rifle,ISLightGaussRifle,Gauss B,1,8,,3,8,17,25,37,,,,,12.0,5,159,275000,8,8,8,8,Extreme,16,"219, TM",IS,E,3049,
ISMagshotGaussRifle,megamek.common.weapons.gaussRifles.innerSphere,gaussRifles,Magshot,ISMagshotGR,Gauss Z,1,2,,,3,6,9,12,,,,,0.5,2,15,8500,2,2,2,,Short,3,"126, TO:AUE",IS,E,3059,
ISSilverBulletGauss,megamek.common.weapons.gaussRifles.innerSphere,gaussRifles,Silver Bullet Gauss Rifle,ISSBGR,Gauss X,1,15,15,2,7,15,22,33,,,,,15.0,7,198,350000,,,,,Long,20,"127, TO:AUE",IS,E,3051,
InfantrySupportMk1LightAAWeapon,megamek.common.weapons.infantry.support,infantry,"AA Weapon (Mk. 1, Light)",,,,,,,,,,,,,,,.005,,0.70,1000,,,,,,,"273, TM",ALL,D,2490,2490
InfantrySupportMk2PortableAAWeapon,megamek.common.weapons.infantry.support,infantry,"AA Weapon (Mk. 2, Man-Portable)",,,,1,,0,2,4,6,8,,,,,.035,,4.14,3500,,,,,,,"273, TM",ALL,D,2498,2498
InfantryPistolAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol,,,,,,,,,,,,,,,.0005,,0.19,50,,,,,,,"273, TM",ALL,C,1950,1950
InfantryPistolHawkEagleAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Hawk Eagle),,,,,,,,,,,,,,,.0005,,0.25,100,,,,,,,"273, TM",IS,C,3030,
InfantryPistolMauserAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (M&G),,,,,,,,,,,,,,,.00065,,0.16,60,,,,,,,"273, TM",IS,C,2490,
InfantryPistolMagnumAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Magnum),,,,,,,,,,,,,,,.0005,,0.19,75,,,,,,,"273, TM",ALL,C,1950,1950
InfantryPistolMydronAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Mydron),,,,,,,,,,,,,,,.0015,,0.13,100,,,,,,,"273, TM",ALL,C,2607,2607
InfantryPistolNambuAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Nambu),,,,,,,,,,,,,,,.00045,,0.19,75,,,,,,,"273, TM",ALL,C,2535,2535
InfantryPistolAutoPistolNissanWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Nissan SG-12),,,,,,,,,,,,,,,.0027,,0.19,250,,,,,,,"176,HBHK",IS,C,2600,
InfantryPistolSerrekAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Serrek 7875D),,,,,,,,,,,,,,,.0004,,0.15,185,,,,,,,"273, TM",IS,C,2805,
InfantryPistolSternsnachtPythonAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Sternsnacht Python),,,,,,,,,,,,,,,.00075,,0.26,125,,,,,,,"273, TM",IS,C,3048,
InfantryPistolStettaAutoPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Stetta),,,,,,,,,,,,,,,.002,,0.16,150,,,,,,,"273, TM",IS,D,3005,
InfantryPistolVintageWeapon,megamek.common.weapons.infantry.pistol,infantry,Auto-Pistol (Vintage),,,,,,,,,,,,,,,.0005,,0.0005,500,,,,,,,"195, AToW-C",ALL,C,,
InfantryRifleAutoRifleWeapon,megamek.common.weapons.infantry.rifle,infantry,"Auto-Rifle (Modern, Generic)",,,,1,,0,1,2,3,4,,,,,.004,,1.59,80,,,,,,,"273, TM",ALL,C,1950,1950
InfantryShotgunAutomaticWeapon,megamek.common.weapons.infantry.shotgun,infantry,Auto-Shotgun,,,,,,,,,,,,,,,.005,,0.21,200,,,,,,,"273, TM",ALL,C,2100,2100
InfantrySupportClanBearhunterAutocannonWeapon,megamek.common.weapons.infantry.support.clan,infantry,Autocannon (Bearhunter Superheavy),,,,,,,,,,,,,,,0.040,,2.13,3000,,,,,,,"273, TM",CLAN,D,,3059
InfantrySupportPortableAutocannonWeapon,megamek.common.weapons.infantry.support,infantry,Autocannon (Semi-Portable),,,,,,,,,,,,,,,.025,,2.35,2000,,,,,,,"273, TM",ALL,C,2100,2100
InfantryArchaicBladeArchaicSwordWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Archaic Sword)),,,,,,,,,,,,,,,.0035,,0.0,45,,,,,,,"195, ATOW-C",ALL,A,,
InfantryArchaicAxeWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Axe/Hatchet/Tomahawk),,,,,,,,,,,,,,,.004,,0.10,25,,,,,,,"272, TM",ALL,A,,
InfantryArchaicBokkenWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Bokken),,,,,,,,,,,,,,,.002,,0.04,15,,,,,,,"272, TM",ALL,A,,
InfantryArchaicCarbonReinforcedNailsWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Carbon-Reinforced Nails),,,,,,,,,,,,,,,0,,0.02,1000,,,,,,,"272, TM",IS,D,2980,
InfantryArchaicDaggerWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Dagger/Knife/Bayonet),,,,,,,,,,,,,,,.0025,,0.02,8,,,,,,,"272, TM",ALL,A,,
InfantryArchaicDaoWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Dao/Katana/No-Dachi/Sword/Wakizashi),,,,,,,,,,,,,,,.003,,0.04,200,,,,,,,"272, TM",ALL,A,,
InfantryArchaicHatchetWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Hatchet/Tomahawk) (Unofficial),,,,,,,,,,,,,,,.001,,0.04,10,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicBladeJoustingLanceWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Jousting Lance),,,,,,,,,,,,,,,.0035,,0.0,65,,,,,,,"195, ATOW-C",ALL,A,,
InfantryArchaicNoDachiWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (No-Dachi),,,,,,,,,,,,,,,.0045,,0.05,300,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicShurikenWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Shuriken/Thrown Knives),,,,,,,,,,,,,,,.0001,,0,5,,,,,,,"272, TM",ALL,A,,
InfantryArchaicSwordWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Sword),,,,,,,,,,,,,,,.003,,0.06,30,,,,,,,"272, TM",ALL,A,,
InfantryArchaicVibroAxeWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Vibro-axe),,,,,,,,,,,,,,,.005,,0.39,150,,,,,,,"272, TM",ALL,E,,
InfantryArchaicVibroBladeWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Vibro-blade),,,,,,,,,,,,,,,.00035,,0.19,100,,,,,,,"272, TM",ALL,D,,
InfantryArchaicVibroKatanaWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Vibro-katana),,,,,,,,,,,,,,,.003,,0.29,350,,,,,,,"272, TM",ALL,E,2440,2440
InfantryArchaicClanVibroSwordWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Vibro-sword) [Clan],,,,,,,,,,,,,,,.004,,0.34,500,,,,,,,"272, TM",CLAN,F,,2815
InfantryArchaicISVibroSwordWeapon,megamek.common.weapons.infantry.archaic,infantry,"Blade (Vibro-sword, I.S.)",,,,,,,,,,,,,,,.004,,0.29,300,,,,,,,"272, TM",ALL,E,2435,2435
InfantryArchaicWakizashiWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Wakizashi),,,,,,,,,,,,,,,.0002,,0.02,150,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicBladeZweihanderSwordWeapon,megamek.common.weapons.infantry.archaic,infantry,Blade (Zweihander Sword),,,,,,,,,,,,,,,0.0051,,0.0,60,,,,,,,"195, ATOW-C",ALL,A,1950,1950
InfantryLaserRifleScorcherVIBlazerRifle,megamek.common.weapons.infantry.laser.rifle,infantry,Blazer Rifle (Scorcher VI),,,,,,,,,,,,,,,0.0075,,1.05,1500,,,,,,,Shrapnel #9,IS,D,,
InfantryArchaicCompoundBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Bow (Compound),,,,,,,,,,,,,,,.001,,0.01,15,,,,,,,"272, TM",ALL,C,1950,1950
InfantryArchaicDaikyuBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Bow (Daikyu),,,,,,,,,,,,,,,.001,,0.01,30,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicHankyuBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Bow (Hankyu),,,,,,,,,,,,,,,.0008,,0.0,15,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicLongBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Bow (Long bow),,,,,,,,,,,,,,,.0015,,0.01,20,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicPrimitiveBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Bow (Primitive),,,,,,,,,,,,,,,0.001,,0.0,5,,,,,,,"195, AToW-C",ALL,A,1950,1950
InfantryArchaicShortBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Bow (Shortbow),,,,,,,,,,,,,,,.0008,,0.0,10,,,,,,,"272, TM",ALL,A,1950,1950
InfantryShotgunCeresCrowdbusterWeapon,megamek.common.weapons.infantry.shotgun,infantry,Ceres Arms Crowdbuster,,,,,,,,,,,,,,,.001,,0.10,150,,,,,,,"273, TM",IS,D,3028,
InfantryArchaicBlackjackWeapon,megamek.common.weapons.infantry.archaic,infantry,Club (Blackjack/Sap),,,,,,,,,,,,,,,.001,,0.05,5,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicImprovisedClubWeapon,megamek.common.weapons.infantry.archaic,infantry,Club (Club/Improvised),,,,,,,,,,,,,,,.002,,0.02,0,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicVibroMaceWeapon,megamek.common.weapons.infantry.archaic,infantry,Club (Vibro-Mace),,,,,,,,,,,,,,,.004,,0.24,300,,,,,,,"272, TM",IS,E,3000,
InfantryArchaicYumiBowWeapon,megamek.common.weapons.infantry.archaic,infantry,Compound Yumi (Bow) (Unofficial),,,,,,,,,,,,,,,.001,,0.01,30,,,,,,,"272, TM",ALL,C,1950,1950
InfantryArchaicBasicCrossbowWeapon,megamek.common.weapons.infantry.archaic,infantry,Crossbow (Basic/Heavy),,,,,,,,,,,,,,,.002,,0.01,10,,,,,,,"272, TM",ALL,A,1950,1950
InfantryArchaicHeavyCrossbowWeapon,megamek.common.weapons.infantry.archaic,infantry,Crossbow (Heavy)(Unofficial),,,,,,,,,,,,,,,.004,,0.02,20,,,,,,,"272, TM",ALL,A,1950,1950
InfantryPistolDartGunWeapon,megamek.common.weapons.infantry.pistol,infantry,Dart Gun,,,,,,,,,,,,,,,.00065,,0.01,40,,,,,,,"273, TM",ALL,C,1950,1950
InfantryRifleElephantGunWeapon,megamek.common.weapons.infantry.rifle,infantry,Elephant Gun,,,,,,,,,,,,,,,.005,,0.34,100,,,,,,,"273, TM",ALL,B,1950,1950
InfantrySupportHeavyFlamerWeapon,megamek.common.weapons.infantry.support.heavy,infantry,Flamer (Heavy),,,,,,,,,,,,,,,.025,,0.72,200,,,,,,,"273, TM",ALL,C,2100,2100
InfantrySupportPortableFlamerWeapon,megamek.common.weapons.infantry.support,infantry,Flamer (Man-Portable),,,,,,,,,,,,,,,.015,,0.50,100,,,,,,,"273, TM",ALL,C,,
InfantryPistolFlarePistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Flare Pistol,,,,,,,,,,,,,,,.0004,,0.08,25,,,,,,,"273, TM",ALL,C,1950,1950
InfantrySupportGrandMaulerGaussCannonWeapon,megamek.common.weapons.infantry.support.gauss,infantry,Gauss Cannon (Grand Mauler),,,,,,,,,,,,,,,.014,,3.22,5000,,,,,,,"273, TM",IS,E,3055,
InfantryPistolMandrakeGaussPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Gauss Pistol (Mandrake Hold-Out),,,,,,,,,,,,,,,.0001,,0.02,750,,,,,,,"273, TM",IS,E,3050,
InfantryPistolClanGaussPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Gauss Pistol [Clan],,,,,,,,,,,,,,,.001,,0.13,1500,,,,,,,"273, TM",CLAN,F,,2845
InfantrySupportGungnirHeavyGaussWeapon,megamek.common.weapons.infantry.support.gauss,infantry,Gauss Rifle (Gungnir Heavy Support),,,,,,,,,,,,,,,0.006,,0.0,15000,,,,,,,"176, AToW-C",IS,E,3074,
InfantrySupportMagshotGaussRifleWeapon,megamek.common.weapons.infantry.support,infantry,Gauss Rifle (Magshot),,,,,,,,,,,,,,,.045,,3.78,8500,,,,,,,"273, TM",IS,E,3058,
InfantryRifleThunderstrokeIIWeapon,megamek.common.weapons.infantry.rifle,infantry,Gauss Rifle (Thunderstroke II),,,,,,,,,,,,,,,.0065,,2.71,3500,,,,,,,"273, TM",IS,E,3058,
InfantryRifleThunderstrokeWeapon,megamek.common.weapons.infantry.rifle,infantry,Gauss Rifle (Thunderstroke),,,,,,,,,,,,,,,.007,,0.79,2500,,,,,,,"273, TM",IS,E,3055,
InfantrySupportTsunamiHeavyGaussRifleWeapon,megamek.common.weapons.infantry.support,infantry,Gauss Rifle (Tsunami Heavy),,,,,,,,,,,,,,,.0125,,3.22,5500,,,,,,,"273, TM",IS,E,3053,
InfantrySupportDavidLightGaussRifleWeapon,megamek.common.weapons.infantry.support.gauss,infantry,"Gauss Rifle, Light (David)",,,,1,,0,3,6,9,12,,,,,.018,,4.01,6000,,,,,,,"273, TM",IS,E,3060,
InfantrySupportKingDavidLightGaussRifleWeapon,megamek.common.weapons.infantry.support.gauss,infantry,"Gauss Rifle, Light (King David)",,,,,,,,,,,,,,,.03,,4.87,8000,,,,,,,"273, TM",IS,E,3060,
InfantrySMGClanGaussWeapon,megamek.common.weapons.infantry.smg,infantry,Gauss Submachine Gun,,,,,,,,,,,,,,,.0045,,1.38,2000,,,,,,,"273, TM",CLAN,E,,3051
InfantryShotgunBuccaneerGelGunWeapon,megamek.common.weapons.infantry.shotgun,infantry,Gel Gun (Buccaneer),,,,,,,,,,,,,,,.0025,,0.06,200,,,,,,,"269, ATOW",IS,C,3030,
InfantryGrenadeInfernoWeapon,megamek.common.weapons.infantry.grenade,infantry,Grenade (Inferno),InfantryGrenadeInferno,,,,,,,,,,,,,,.0006,,0.17,16,,,,,,,"272, TM",ALL,C,1950,1950
InfantryGrenadeMicroWeapon,megamek.common.weapons.infantry.grenade,infantry,Grenade (Micro),,,,,,,,,,,,,,,.0002,,0.15,2,,,,,,,"272, TM",ALL,C,1950,1950
InfantryGrenadeMiniInfernoWeapon,megamek.common.weapons.infantry.grenade,infantry,Grenade (Mini) (Inferno),InfantryMiniGrenadeInferno,,,,,,,,,,,,,,.00045,,0.10,8,,,,,,,"272, TM",ALL,C,1950,1950
InfantryGrenadeMiniWeapon,megamek.common.weapons.infantry.grenade,infantry,Grenade (Mini) (Non-Inferno),InfantryMiniGrenade,,,,,,,,,,,,,,.00045,,0.25,8,,,,,,,"272, TM",ALL,C,1950,1950
InfantryGrenadeStandardWeapon,megamek.common.weapons.infantry.grenade,infantry,Grenade (Non-Inferno),InfantryGrenade,,,,,,,,,,,,,,.0006,,0.44,16,,,,,,,"273, TM",ALL,C,1950,1950
InfantryGrenadeRAGWeapon,megamek.common.weapons.infantry.grenade,infantry,Grenade (Rocket-Assisted),,,,,,,,,,,,,,,.0006,,0.92,50,,,,,,,"273, TM",IS,C,3062,
InfantrySupportGrenadeLauncherWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher,,,,,,,,,,,,,,,.005,,2.48,465,,,,,,,"273, TM",ALL,C,1950,1950
InfantrySupportGrenadeLauncherAutoWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher (Auto),InfantryAutoGL,,,,,,,,,,,,,,.012,,4.55,975,,,,,,,"273, TM",ALL,C,2100,2100
InfantrySupportGrenadeLauncherAutoInfernoWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher (Auto) - Inferno,InfantryAutoGLInferno,,,,,,,,,,,,,,.012,,1.25,975,,,,,,,"273, TM",ALL,C,2100,2100
InfantrySupportGrenadeLauncherCompactWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher (Compact),,,,,,,,,,,,,,,.003,,0.49,290,,,,,,,"273, TM",ALL,C,2100,2100
InfantrySupportGrenadeLauncherHeavyAutoWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher (Heavy Auto),InfantryHeavyAutoGrenadeLauncher,,,,,,,,,,,,,,.020,,5.90,4500,,,,,,,"273, TM",CLAN,D,,2896
InfantrySupportGrenadeLauncherHeavyAutoInfernoWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher (Heavy Auto) w/Inferno,InfantryHeavyAutoGrenadeLauncherInferno,,,,,,,,,,,,,,.020,,2.93,4500,,,,,,,"273, TM",CLAN,D,,2896
InfantrySupportHeavyGrenadeLauncherWeapon,megamek.common.weapons.infantry.support.heavy,infantry,Grenade Launcher (Heavy),InfantryHeavyGrenadeLauncher,,,,,,,,,,,,,,.018,,5.38,1500,,,,,,,"273, TM",IS,C,3049,
InfantrySupportHeavyGrenadeLauncherInfernoWeapon,megamek.common.weapons.infantry.support.heavy,infantry,Grenade Launcher (Heavy) w/Inferno,InfantryHeavyGrenadeLauncherInferno,,,,,,,,,,,,,,.018,,2.11,1500,,,,,,,"273, TM",IS,C,3049,
InfantrySupportGrenadeLauncherInfernoWeapon,megamek.common.weapons.infantry.support.grenadeLauncher,infantry,Grenade Launcher - Inferno,InfantryGrenadeLauncherInferno,,,,,,,,,,,,,,.005,,1.04,465,,,,,,,"273, TM",ALL,C,1950,1950
InfantryRifleHeavyGyrojetGunWeapon,megamek.common.weapons.infantry.rifle,infantry,Gyrojet Gun (Heavy),,,,,,,,,,,,,,,.010,,1.07,2500,,,,,,,"273, TM",ALL,D,2585,2585
InfantryPistolGyrojetPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Gyrojet Pistol,,,,,,,,,,,,,,,.0025,,0.04,450,,,,,,,"273, TM",ALL,D,2620,2620
InfantryPistolCoventryHandrocketGyrojetPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Gyrojet Pistol (Coventry Handrocket),,,,,,,,,,,,,,,.0031,,0.43,250,,,,,,,"273, TM",IS,D,3050,
InfantryPistolHoldOutGyroJetPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Gyrojet Pistol (Hold-Out),,,,,,,,,,,,,,,.00005,,0.04,30,,,,,,,"273, TM",ALL,D,2100,2100
InfantryRifleGyrojetRifleWeapon,megamek.common.weapons.infantry.rifle,infantry,Gyrojet Rifle,,,,,,,,,,,,,,,.007,,1.07,1000,,,,,,,"273, TM",ALL,D,2535,2535
InfantryRifleGyroslugCarbineWeapon,megamek.common.weapons.infantry.rifle,infantry,Gyroslug Carbine,,,,,,,,,,,,,,,.004,,0.86,800,,,,,,,"273, TM",ALL,D,2570,2570
InfantryRifleStarKingGyroslugCarbineWeapon,megamek.common.weapons.infantry.rifle,infantry,Gyroslug Carbine (Star King),,,,,,,,,,,,,,,.008,,1.07,950,,,,,,,"273, TM",IS,D,2775,
InfantryRifleGyroslugRifleWeapon,megamek.common.weapons.infantry.rifle,infantry,Gyroslug Rifle,,,,,,,,,,,,,,,.008,,1.07,1000,,,,,,,"273, TM",ALL,D,2520,2520
InfantryArchaicKatanaWeapon,megamek.common.weapons.infantry.archaic,infantry,Katana (Unofficial),,,,,,,,,,,,,,,.0025,,0.06,250,,,,,,,"272, TM",ALL,A,1950,1950
InfantrySupportLRMWeapon,megamek.common.weapons.infantry.support,infantry,LRM Launcher (Corean Farshot),InfantryLRM,,,,,,,,,,,,,,.03,,3.44,2000,,,,,,,"273, TM",IS,D,3055,
InfantrySupportLRMInfernoWeapon,megamek.common.weapons.infantry.support,infantry,LRM Launcher (Corean Farshot) w/Inferno,InfantryLRMInferno,,,,,,,,,,,,,,.03,,1.36,2000,,,,,,,"273, TM",IS,D,3055,
InfantrySupportHellboreAssaultLaserWeapon,megamek.common.weapons.infantry.support.laser,infantry,Laser (Hellbore Assault),,,,,,,,,,,,,,,.020,,3.22,2500,,,,,,,"273, TM",IS,E,3054,
InfantryLaserCarbineBrightStarL15,megamek.common.weapons.infantry.laser,infantry,Laser Carbine (BrightStar L-15),,,,,,,,,,,,,,,0.0018,,0.2625,2500,,,,,,,Shrapnel #9,CLAN,E,,
InfantryPistolLaserPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Laser Pistol,,,,,,,,,,,,,,,.001,,0.64,750,,,,,,,"273, TM",ALL,D,2100,2100
InfantryLaserPistolAA75L,megamek.common.weapons.infantry.laser.pistol,infantry,Laser Pistol (AA-75L),,,,,,,,,,,,,,,0.0001,,0.021,1500,,,,,,,Shrapnel #9,IS,D,,
InfantryLaserPistolAWAWilibyMk4LaserPistol,megamek.common.weapons.infantry.laser.pistol,infantry,Laser Pistol (AWA Wiliby MK4 LASER PISTOL),,,,,,,,,,,,,,,0.0018,,0.028,1500,,,,,,,Shrapnel #9,IS,D,,
InfantryLaserPistolBR25,megamek.common.weapons.infantry.laser.pistol,infantry,Laser Pistol (BR-25),,,,,,,,,,,,,,,0.0013,,0.01575,950,,,,,,,Shrapnel #9,IS,D,,
InfantryPistolBlazerPistolWeapon,megamek.common.weapons.infantry.pistol,infantry,Laser Pistol (Blazer),,,,,,,,,,,,,,,.002,,0.79,3000,,,,,,,"273, TM",IS,D,2100,
